chart_week|title|performer|peak_pos|wks_on_chart
1958-08-04|Poor Little Fool|Ricky Nelson|1|1
1958-08-18|Nel Blu Dipinto Di Blu (Volaré)|Domenico Modugno|1|3
1958-08-25|Little Star|The Elegants|1|4
1958-09-29|It's All In The Game|Tommy Edwards|1|7
1958-11-10|It's Only Make Believe|Conway Twitty|1|9
1958-11-17|Tom Dooley|The Kingston Trio|1|8
1958-12-01|To Know Him, Is To Love Him|The Teddy Bears|1|11
1958-12-22|The Chipmunk Song|The Chipmunks With David Seville|1|4
1959-01-19|Smoke Gets In Your Eyes|The Platters|1|10
1959-02-09|Stagger Lee|Lloyd Price|1|10
1959-03-09|Venus|Frankie Avalon|1|5
1959-04-13|Come Softly To Me|The Fleetwoods|1|6
1959-05-11|The Happy Organ|Dave "Baby" Cortez|1|9
1959-05-18|Kansas City|Wilbert Harrison|1|6
1959-06-01|The Battle Of New Orleans|Johnny Horton|1|6
1959-07-13|Lonely Boy|Paul Anka|1|7
1959-08-10|A Big Hunk O' Love|Elvis Presley With The Jordanaires|1|6
1959-08-24|The Three Bells|The Browns|1|5
1959-09-21|Sleep Walk|Santo & Johnny|1|9
1959-10-05|Mack The Knife|Bobby Darin|1|7
1959-11-16|Mr. Blue|The Fleetwoods|1|11
1959-12-14|Heartaches By The Number|Guy Mitchell|1|11
1959-12-28|Why|Frankie Avalon|1|6
1960-01-04|El Paso|Marty Robbins|1|9
1960-01-18|Running Bear|Johnny Preston|1|14
1960-02-08|Teen Angel|Mark Dinning|1|8
1960-02-22|The Theme From "A Summer Place"|Percy Faith And His Orchestra|1|7
1960-04-25|Stuck On You|Elvis Presley With The Jordanaires|1|4
1960-05-23|Cathy's Clown|The Everly Brothers|1|6
1960-06-27|Everybody's Somebody's Fool|Connie Francis|1|8
1960-07-11|Alley-Oop|Hollywood Argyles|1|7
1960-07-18|I'm Sorry|Brenda Lee|1|8
1960-08-08|Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini|Brian Hyland|1|6
1960-08-15|It's Now Or Never|Elvis Presley With The Jordanaires|1|5
1960-09-19|The Twist|Chubby Checker|1|8
1960-09-26|My Heart Has A Mind Of Its Own|Connie Francis|1|7
1960-10-10|Mr. Custer|Larry Verne|1|7
1960-10-17|Save The Last Dance For Me|The Drifters|1|7
1960-10-24|I Want To Be Wanted|Brenda Lee|1|7
1960-11-14|Georgia On My Mind|Ray Charles|1|8
1960-11-21|Stay|Maurice Williams & The Zodiacs|1|8
1960-11-28|Are You Lonesome To-night?|Elvis Presley With The Jordanaires|1|3
1961-01-09|Wonderland By Night|Bert Kaempfert And His Orchestra|1|9
1961-01-30|Will You Love Me Tomorrow|The Shirelles|1|11
1961-02-13|Calcutta|Lawrence Welk And His Orchestra|1|10
1961-02-27|Pony Time|Chubby Checker|1|6
1961-03-20|Surrender|Elvis Presley With The Jordanaires|1|5
1961-04-03|Blue Moon|The Marcels|1|5
1961-04-24|Runaway|Del Shannon|1|8
1961-05-22|Mother-In-Law|Ernie K-Doe|1|9
1961-05-29|Travelin' Man|Ricky Nelson|1|6
1961-06-05|Running Scared|Roy Orbison|1|9
1961-06-19|Moody River|Pat Boone|1|8
1961-06-26|Quarter To Three|U.S. Bonds|1|6
1961-07-10|Tossin' And Turnin'|Bobby Lewis|1|12
1961-08-28|Wooden Heart|Joe Dowell|1|10
1961-09-04|Michael|The Highwaymen|1|9
1961-09-18|Take Good Care Of My Baby|Bobby Vee|1|7
1961-10-09|Hit The Road Jack|Ray Charles and his Orchestra|1|5
1961-10-23|Runaround Sue|Dion|1|5
1961-11-06|Big Bad John|Jimmy Dean|1|6
1961-12-11|Please Mr. Postman|The Marvelettes|1|15
1961-12-18|The Lion Sleeps Tonight|The Tokens|1|6
1962-01-27|Peppermint Twist - Part I|Joey Dee & the Starliters|1|10
1962-02-17|Duke Of Earl|Gene Chandler|1|6
1962-03-10|Hey! Baby|Bruce Channel|1|7
1962-03-31|Don't Break The Heart That Loves You|Connie Francis|1|8
1962-04-07|Johnny Angel|Shelley Fabares|1|6
